[INFO ] [2022-10-02 18:26:35,671] Click to Register on the header
[INFO ] [2022-10-02 22:53:00,813] Input valid value into confirm password textbox with: exkyszfin2
[INFO ] [2022-10-02 22:53:00,873] Click to Register button
[INFO ] [2022-10-02 22:53:31,623] Click to Register on the header
[INFO ] [2022-10-02 22:53:34,729] Click to Register button
[INFO ] [2022-10-02 22:53:35,106] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:53:35,178] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:53:35,230] Verify Required message of Email field
[INFO ] [2022-10-02 22:53:35,271] Verify Required message of Password field
[INFO ] [2022-10-02 22:53:35,310] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:53:35,369] Click to Register on the header
[INFO ] [2022-10-02 22:53:36,036] Select gender in checkbox
[INFO ] [2022-10-02 22:53:36,148] Input valid value into Firstname textbox with: Hassan
[INFO ] [2022-10-02 22:53:36,346] Input valid value into Lastname textbox with: Romaguera
[INFO ] [2022-10-02 22:53:36,798] Select Date of birthday
[INFO ] [2022-10-02 22:53:36,939] Select Month of birthday
[INFO ] [2022-10-02 22:53:37,022] ISelect Year of birthday
[INFO ] [2022-10-02 22:53:37,103] Input invalid email to email textbox
[INFO ] [2022-10-02 22:53:37,249] Input valid value into password textbox with: 3axh47fpk1
[INFO ] [2022-10-02 22:53:37,642] Input valid value into confirm password textbox with: 3axh47fpk1
[INFO ] [2022-10-02 22:53:37,901] Click to Register button
[INFO ] [2022-10-02 22:53:39,109] Verify error message about invalid email
[INFO ] [2022-10-02 22:54:26,032] Click to Register on the header
[INFO ] [2022-10-02 22:54:27,802] Click to Register button
[INFO ] [2022-10-02 22:54:28,203] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:54:28,281] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:54:28,337] Verify Required message of Email field
[INFO ] [2022-10-02 22:54:28,384] Verify Required message of Password field
[INFO ] [2022-10-02 22:54:28,445] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:54:28,493] Click to Register on the header
[INFO ] [2022-10-02 22:54:29,163] Select gender in checkbox
[INFO ] [2022-10-02 22:54:29,273] Input valid value into Firstname textbox with: Raleigh
[INFO ] [2022-10-02 22:54:29,467] Input valid value into Lastname textbox with: Homenick
[INFO ] [2022-10-02 22:54:29,976] Select Date of birthday
[INFO ] [2022-10-02 22:54:30,120] Select Month of birthday
[INFO ] [2022-10-02 22:54:30,206] ISelect Year of birthday
[INFO ] [2022-10-02 22:54:30,286] Input invalid email to email textbox
[INFO ] [2022-10-02 22:54:30,440] Input valid value into password textbox with: xg4mzqok58fbgn
[INFO ] [2022-10-02 22:54:30,627] Input valid value into confirm password textbox with: xg4mzqok58fbgn
[INFO ] [2022-10-02 22:54:30,862] Click to Register button
[INFO ] [2022-10-02 22:54:31,256] Verify error message about invalid email
[INFO ] [2022-10-02 22:55:25,498] Click to Register on the header
[INFO ] [2022-10-02 22:55:27,239] Click to Register button
[INFO ] [2022-10-02 22:55:27,646] Verify Required message of Firstname field
[INFO ] [2022-10-02 22:55:27,742] Verify Required message of Lastname field
[INFO ] [2022-10-02 22:55:27,794] Verify Required message of Email field
[INFO ] [2022-10-02 22:55:27,837] Verify Required message of Password field
[INFO ] [2022-10-02 22:55:27,893] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 22:55:27,956] Click to Register on the header
[INFO ] [2022-10-02 22:55:28,578] Select gender in checkbox
[INFO ] [2022-10-02 22:55:28,683] Input valid value into Firstname textbox with: Virgie
[INFO ] [2022-10-02 22:55:28,895] Input valid value into Lastname textbox with: Weber
[INFO ] [2022-10-02 22:55:28,991] Select Date of birthday
[INFO ] [2022-10-02 22:55:29,492] Select Month of birthday
[INFO ] [2022-10-02 22:55:29,576] ISelect Year of birthday
[INFO ] [2022-10-02 22:55:29,663] Input invalid email to email textbox
[INFO ] [2022-10-02 22:55:29,749] Input valid value into password textbox with: 9i4h53au
[INFO ] [2022-10-02 22:55:29,904] Input valid value into confirm password textbox with: 9i4h53au
[INFO ] [2022-10-02 22:55:30,071] Click to Register button
[INFO ] [2022-10-02 22:55:30,452] Verify error message about invalid email
[INFO ] [2022-10-02 23:02:54,089] Click to Register on the header
[INFO ] [2022-10-02 23:02:56,511] Click to Register button
[INFO ] [2022-10-02 23:02:56,893] Verify Required message of Firstname field
[INFO ] [2022-10-02 23:02:56,962] Verify Required message of Lastname field
[INFO ] [2022-10-02 23:02:57,008] Verify Required message of Email field
[INFO ] [2022-10-02 23:02:57,046] Verify Required message of Password field
[INFO ] [2022-10-02 23:02:57,084] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 23:02:57,132] Click to Register on the header
[INFO ] [2022-10-02 23:02:57,764] Select gender in checkbox
[INFO ] [2022-10-02 23:02:57,872] Input valid value into Firstname textbox with: Freddie
[INFO ] [2022-10-02 23:02:58,054] Input valid value into Lastname textbox with: Bergnaum
[INFO ] [2022-10-02 23:02:58,536] Select Date of birthday
[INFO ] [2022-10-02 23:02:58,674] Select Month of birthday
[INFO ] [2022-10-02 23:02:58,753] ISelect Year of birthday
[INFO ] [2022-10-02 23:02:58,836] Input invalid email to email textbox
[INFO ] [2022-10-02 23:02:58,979] Input valid value into password textbox with: 73vcx332fr1i
[INFO ] [2022-10-02 23:02:59,189] Input valid value into confirm password textbox with: 73vcx332fr1i
[INFO ] [2022-10-02 23:02:59,449] Click to Register button
[INFO ] [2022-10-02 23:02:59,877] Verify error message about invalid email
[INFO ] [2022-10-02 23:03:00,078] Click to Register on the header
[INFO ] [2022-10-02 23:03:01,138] Select gender in checkbox
[INFO ] [2022-10-02 23:03:01,220] Input valid value into Firstname textbox with: Freddie
[INFO ] [2022-10-02 23:03:01,301] Input valid value into Lastname textbox with: Bergnaum
[INFO ] [2022-10-02 23:03:01,442] Select Date of birthday
[INFO ] [2022-10-02 23:03:01,524] Select Month of birthday
[INFO ] [2022-10-02 23:03:01,598] ISelect Year of birthday
[INFO ] [2022-10-02 23:03:01,672] Input invalid email to email textbox with: lin.wuckert@hotmail.com
[INFO ] [2022-10-02 23:03:01,752] Input valid value into password textbox with: 73vcx332fr1i
[INFO ] [2022-10-02 23:03:01,833] Input valid value into confirm password textbox with: 73vcx332fr1i
[INFO ] [2022-10-02 23:03:01,909] Click to Register button
[INFO ] [2022-10-02 23:03:04,415] Verify error message about invalid email
[INFO ] [2022-10-02 23:24:33,444] Click to Register on the header
[INFO ] [2022-10-02 23:24:35,465] Click to Register button
[INFO ] [2022-10-02 23:24:35,848] Verify Required message of Firstname field
[INFO ] [2022-10-02 23:24:35,923] Verify Required message of Lastname field
[INFO ] [2022-10-02 23:24:35,970] Verify Required message of Email field
[INFO ] [2022-10-02 23:24:36,007] Verify Required message of Password field
[INFO ] [2022-10-02 23:24:36,047] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 23:24:36,101] Click to Register on the header
[INFO ] [2022-10-02 23:24:36,739] Select gender in checkbox
[INFO ] [2022-10-02 23:24:36,845] Input valid value into Firstname textbox with: Nathanael
[INFO ] [2022-10-02 23:24:37,029] Input valid value into Lastname textbox with: Robel
[INFO ] [2022-10-02 23:24:37,484] Select Date of birthday
[INFO ] [2022-10-02 23:24:37,620] Select Month of birthday
[INFO ] [2022-10-02 23:24:37,713] ISelect Year of birthday
[INFO ] [2022-10-02 23:24:37,797] Input invalid email to email textbox
[INFO ] [2022-10-02 23:24:37,888] Input valid value into password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:38,080] Input valid value into confirm password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:38,270] Click to Register button
[INFO ] [2022-10-02 23:24:38,654] Verify error message about invalid email
[INFO ] [2022-10-02 23:24:38,874] Select gender in checkbox
[INFO ] [2022-10-02 23:24:39,277] Input valid value into Firstname textbox with: Nathanael
[INFO ] [2022-10-02 23:24:39,496] Input valid value into Lastname textbox with: Robel
[INFO ] [2022-10-02 23:24:40,125] Select Date of birthday
[INFO ] [2022-10-02 23:24:40,218] Select Month of birthday
[INFO ] [2022-10-02 23:24:40,310] ISelect Year of birthday
[INFO ] [2022-10-02 23:24:40,352] Input invalid email to email textbox with: rigoberto.schmidt@gmail.com
[INFO ] [2022-10-02 23:24:40,588] Input valid value into password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:41,025] Input valid value into confirm password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:41,433] Click to Register button
[INFO ] [2022-10-02 23:24:44,021] Verify error message about invalid email
[INFO ] [2022-10-02 23:24:44,063] Click on Continue buton to return to homepage
[INFO ] [2022-10-02 23:24:44,575] Click on Log out button
[INFO ] [2022-10-02 23:24:45,458] Click to Register on the header
[INFO ] [2022-10-02 23:24:45,904] Input valid value into Firstname textbox with: Nathanael
[INFO ] [2022-10-02 23:24:45,992] Input valid value into Lastname textbox with: Robel
[INFO ] [2022-10-02 23:24:46,072] Select Date of birthday
[INFO ] [2022-10-02 23:24:46,148] Select Month of birthday
[INFO ] [2022-10-02 23:24:46,219] ISelect Year of birthday
[INFO ] [2022-10-02 23:24:46,289] Input invalid email to email textbox with: rigoberto.schmidt@gmail.com
[INFO ] [2022-10-02 23:24:46,378] Input valid value into password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:46,462] Input valid value into confirm password textbox with: 89i6jn3qszqk8
[INFO ] [2022-10-02 23:24:46,545] Click to Register button
[INFO ] [2022-10-02 23:24:47,121] Verify error message about invalid email
[INFO ] [2022-10-02 23:25:46,059] Click to Register on the header
[INFO ] [2022-10-02 23:25:48,420] Click to Register button
[INFO ] [2022-10-02 23:25:48,809] Verify Required message of Firstname field
[INFO ] [2022-10-02 23:25:48,879] Verify Required message of Lastname field
[INFO ] [2022-10-02 23:25:48,926] Verify Required message of Email field
[INFO ] [2022-10-02 23:25:48,997] Verify Required message of Password field
[INFO ] [2022-10-02 23:25:49,051] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 23:25:49,119] Click to Register on the header
[INFO ] [2022-10-02 23:25:49,789] Select gender in checkbox
[INFO ] [2022-10-02 23:25:49,898] Input valid value into Firstname textbox with: Lewis
[INFO ] [2022-10-02 23:25:50,091] Input valid value into Lastname textbox with: Prohaska
[INFO ] [2022-10-02 23:25:50,728] Select Date of birthday
[INFO ] [2022-10-02 23:25:51,104] Select Month of birthday
[INFO ] [2022-10-02 23:25:51,286] ISelect Year of birthday
[INFO ] [2022-10-02 23:25:51,518] Input invalid email to email textbox
[INFO ] [2022-10-02 23:25:51,799] Input valid value into password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:25:52,017] Input valid value into confirm password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:25:52,316] Click to Register button
[INFO ] [2022-10-02 23:25:52,435] Verify error message about invalid email
[INFO ] [2022-10-02 23:25:52,518] Select gender in checkbox
[INFO ] [2022-10-02 23:25:52,855] Input valid value into Firstname textbox with: Lewis
[INFO ] [2022-10-02 23:25:52,923] Input valid value into Lastname textbox with: Prohaska
[INFO ] [2022-10-02 23:25:53,015] Select Date of birthday
[INFO ] [2022-10-02 23:25:53,054] Select Month of birthday
[INFO ] [2022-10-02 23:25:53,100] ISelect Year of birthday
[INFO ] [2022-10-02 23:25:53,148] Input valid email to email textbox with: agustina.bahringer@gmail.com
[INFO ] [2022-10-02 23:25:53,343] Input valid value into password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:25:53,907] Input valid value into confirm password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:25:54,418] Click to Register button
[INFO ] [2022-10-02 23:25:57,691] Verify error message about invalid email
[INFO ] [2022-10-02 23:25:57,744] Click on Continue buton to return to homepage
[INFO ] [2022-10-02 23:25:58,266] Click on Log out button
[INFO ] [2022-10-02 23:25:59,062] Click to Register on the header
[INFO ] [2022-10-02 23:25:59,527] Input valid value into Firstname textbox with: Lewis
[INFO ] [2022-10-02 23:25:59,611] Input valid value into Lastname textbox with: Prohaska
[INFO ] [2022-10-02 23:25:59,709] Select Date of birthday
[INFO ] [2022-10-02 23:25:59,792] Select Month of birthday
[INFO ] [2022-10-02 23:25:59,865] ISelect Year of birthday
[INFO ] [2022-10-02 23:25:59,940] Input exist email to email textbox with: agustina.bahringer@gmail.com
[INFO ] [2022-10-02 23:26:00,034] Input valid value into password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:26:00,114] Input valid value into confirm password textbox with: x8hl7dh38z
[INFO ] [2022-10-02 23:26:00,192] Click to Register button
[INFO ] [2022-10-02 23:26:00,905] Verify error message about invalid email
[INFO ] [2022-10-02 23:55:34,426] Click to Register on the header
[INFO ] [2022-10-02 23:55:36,117] Click to Register button
[INFO ] [2022-10-02 23:55:36,509] Verify Required message of Firstname field
[INFO ] [2022-10-02 23:55:36,578] Verify Required message of Lastname field
[INFO ] [2022-10-02 23:55:36,622] Verify Required message of Email field
[INFO ] [2022-10-02 23:55:36,664] Verify Required message of Password field
[INFO ] [2022-10-02 23:55:36,721] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 23:55:36,774] Click to Register on the header
[INFO ] [2022-10-02 23:55:37,404] Select gender in checkbox
[INFO ] [2022-10-02 23:55:37,520] Input valid value into Firstname textbox with: Sanford
[INFO ] [2022-10-02 23:55:37,708] Input valid value into Lastname textbox with: Wunsch
[INFO ] [2022-10-02 23:55:38,178] Select Date of birthday
[INFO ] [2022-10-02 23:55:38,312] Select Month of birthday
[INFO ] [2022-10-02 23:55:38,393] ISelect Year of birthday
[INFO ] [2022-10-02 23:55:38,474] Input invalid email to email textbox
[INFO ] [2022-10-02 23:55:38,563] Input valid value into password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:38,729] Input valid value into confirm password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:38,920] Click to Register button
[INFO ] [2022-10-02 23:55:39,288] Verify error message about invalid email
[INFO ] [2022-10-02 23:55:39,375] Select gender in checkbox
[INFO ] [2022-10-02 23:55:39,879] Input valid value into Firstname textbox with: Sanford
[INFO ] [2022-10-02 23:55:40,194] Input valid value into Lastname textbox with: Wunsch
[INFO ] [2022-10-02 23:55:40,854] Select Date of birthday
[INFO ] [2022-10-02 23:55:40,945] Select Month of birthday
[INFO ] [2022-10-02 23:55:41,033] ISelect Year of birthday
[INFO ] [2022-10-02 23:55:41,081] Input valid email to email textbox with: solomon.bernier@yahoo.com
[INFO ] [2022-10-02 23:55:41,292] Input valid value into password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:41,747] Input valid value into confirm password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:42,213] Click to Register button
[INFO ] [2022-10-02 23:55:44,576] Verify error message about invalid email
[INFO ] [2022-10-02 23:55:44,643] Click on Continue buton to return to homepage
[INFO ] [2022-10-02 23:55:45,307] Click on Log out button
[INFO ] [2022-10-02 23:55:46,263] Click to Register on the header
[INFO ] [2022-10-02 23:55:46,707] Input valid value into Firstname textbox with: Sanford
[INFO ] [2022-10-02 23:55:46,783] Input valid value into Lastname textbox with: Wunsch
[INFO ] [2022-10-02 23:55:46,872] Select Date of birthday
[INFO ] [2022-10-02 23:55:46,945] Select Month of birthday
[INFO ] [2022-10-02 23:55:47,011] ISelect Year of birthday
[INFO ] [2022-10-02 23:55:47,096] Input exist email to email textbox with: solomon.bernier@yahoo.com
[INFO ] [2022-10-02 23:55:47,182] Input valid value into password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:47,265] Input valid value into confirm password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:55:47,341] Click to Register button
[INFO ] [2022-10-02 23:55:47,967] Verify error message about invalid email
[INFO ] [2022-10-02 23:55:48,012] Input valid value into Firstname textbox with: Sanford
[INFO ] [2022-10-02 23:55:48,095] Input valid value into Lastname textbox with: Wunsch
[INFO ] [2022-10-02 23:55:48,183] Select Date of birthday
[INFO ] [2022-10-02 23:55:48,228] Select Month of birthday
[INFO ] [2022-10-02 23:55:48,274] ISelect Year of birthday
[INFO ] [2022-10-02 23:55:48,318] Input valid email to email textbox with: aubrey.weissnat@gmail.com
[INFO ] [2022-10-02 23:55:48,404] Input less-than-6-chars value into password textbox with
[INFO ] [2022-10-02 23:55:48,478] Input less-than-6-chars value into confirm password textbox with
[INFO ] [2022-10-02 23:55:48,756] Click to Register button
[INFO ] [2022-10-02 23:55:48,853] Verify error message about invalid password
[INFO ] [2022-10-02 23:56:19,391] Input valid value into Firstname textbox with: Sanford
[INFO ] [2022-10-02 23:56:19,463] Input valid value into Lastname textbox with: Wunsch
[INFO ] [2022-10-02 23:56:19,535] Select Date of birthday
[INFO ] [2022-10-02 23:56:19,581] Select Month of birthday
[INFO ] [2022-10-02 23:56:19,626] ISelect Year of birthday
[INFO ] [2022-10-02 23:56:19,676] Input valid email to email textbox with: aubrey.weissnat@gmail.com
[INFO ] [2022-10-02 23:56:19,761] Input valid value into password textbox with: k0a0amzi9xv9w0
[INFO ] [2022-10-02 23:56:19,882] Input not-matched confirm password into confirm password textbox
[INFO ] [2022-10-02 23:56:20,058] Click to Register button
[INFO ] [2022-10-02 23:56:20,174] Verify error message about not-matched password
[INFO ] [2022-10-02 23:59:20,486] Click to Register on the header
[INFO ] [2022-10-02 23:59:22,244] Click to Register button
[INFO ] [2022-10-02 23:59:22,609] Verify Required message of Firstname field
[INFO ] [2022-10-02 23:59:22,673] Verify Required message of Lastname field
[INFO ] [2022-10-02 23:59:22,721] Verify Required message of Email field
[INFO ] [2022-10-02 23:59:22,763] Verify Required message of Password field
[INFO ] [2022-10-02 23:59:22,803] Verify Required message of Confirm Password field
[INFO ] [2022-10-02 23:59:22,854] Click to Register on the header
[INFO ] [2022-10-02 23:59:23,492] Select gender in checkbox
[INFO ] [2022-10-02 23:59:23,604] Input valid value into Firstname textbox with: Domingo
[INFO ] [2022-10-02 23:59:23,798] Input valid value into Lastname textbox with: Schaefer
[INFO ] [2022-10-02 23:59:24,156] Select Date of birthday
[INFO ] [2022-10-02 23:59:24,386] Select Month of birthday
[INFO ] [2022-10-02 23:59:24,468] ISelect Year of birthday
[INFO ] [2022-10-02 23:59:24,557] Input invalid email to email textbox
[INFO ] [2022-10-02 23:59:24,701] Input valid value into password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:24,888] Input valid value into confirm password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:25,118] Click to Register button
[INFO ] [2022-10-02 23:59:25,483] Verify error message about invalid email
[INFO ] [2022-10-02 23:59:25,679] Select gender in checkbox
[INFO ] [2022-10-02 23:59:25,897] Input valid value into Firstname textbox with: Domingo
[INFO ] [2022-10-02 23:59:26,176] Input valid value into Lastname textbox with: Schaefer
[INFO ] [2022-10-02 23:59:26,668] Select Date of birthday
[INFO ] [2022-10-02 23:59:26,742] Select Month of birthday
[INFO ] [2022-10-02 23:59:26,787] ISelect Year of birthday
[INFO ] [2022-10-02 23:59:26,825] Input valid email to email textbox with: margarett.kassulke@gmail.com
[INFO ] [2022-10-02 23:59:27,033] Input valid value into password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:27,429] Input valid value into confirm password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:27,820] Click to Register button
[INFO ] [2022-10-02 23:59:29,739] Verify error message about invalid email
[INFO ] [2022-10-02 23:59:29,780] Click on Continue buton to return to homepage
[INFO ] [2022-10-02 23:59:30,268] Click on Log out button
[INFO ] [2022-10-02 23:59:31,040] Click to Register on the header
[INFO ] [2022-10-02 23:59:31,624] Input valid value into Firstname textbox with: Domingo
[INFO ] [2022-10-02 23:59:31,704] Input valid value into Lastname textbox with: Schaefer
[INFO ] [2022-10-02 23:59:31,792] Select Date of birthday
[INFO ] [2022-10-02 23:59:31,865] Select Month of birthday
[INFO ] [2022-10-02 23:59:31,940] ISelect Year of birthday
[INFO ] [2022-10-02 23:59:32,009] Input exist email to email textbox with: margarett.kassulke@gmail.com
[INFO ] [2022-10-02 23:59:32,082] Input valid value into password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:32,234] Input valid value into confirm password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:32,307] Click to Register button
[INFO ] [2022-10-02 23:59:32,890] Verify error message about invalid email
[INFO ] [2022-10-02 23:59:32,940] Input valid value into Firstname textbox with: Domingo
[INFO ] [2022-10-02 23:59:33,019] Input valid value into Lastname textbox with: Schaefer
[INFO ] [2022-10-02 23:59:33,106] Select Date of birthday
[INFO ] [2022-10-02 23:59:33,159] Select Month of birthday
[INFO ] [2022-10-02 23:59:33,201] ISelect Year of birthday
[INFO ] [2022-10-02 23:59:33,243] Input valid email to email textbox with: matthew.marvin@hotmail.com
[INFO ] [2022-10-02 23:59:33,333] Input less-than-6-chars value into password textbox with
[INFO ] [2022-10-02 23:59:33,410] Input less-than-6-chars value into confirm password textbox with
[INFO ] [2022-10-02 23:59:33,639] Click to Register button
[INFO ] [2022-10-02 23:59:33,744] Verify error message about invalid password
[INFO ] [2022-10-02 23:59:34,215] Input valid value into Firstname textbox with: Domingo
[INFO ] [2022-10-02 23:59:34,334] Input valid value into Lastname textbox with: Schaefer
[INFO ] [2022-10-02 23:59:34,408] Select Date of birthday
[INFO ] [2022-10-02 23:59:34,451] Select Month of birthday
[INFO ] [2022-10-02 23:59:34,493] ISelect Year of birthday
[INFO ] [2022-10-02 23:59:34,532] Input valid email to email textbox with: matthew.marvin@hotmail.com
[INFO ] [2022-10-02 23:59:34,605] Input valid value into password textbox with: 2pqfdncdda
[INFO ] [2022-10-02 23:59:34,781] Input not-matched confirm password into confirm password textbox
[INFO ] [2022-10-02 23:59:34,854] Click to Register button
[INFO ] [2022-10-02 23:59:35,064] Verify error message about not-matched password
[INFO ] [2022-10-03 00:00:29,478] Click to Register on the header
[INFO ] [2022-10-03 00:00:34,787] Click to Register button
[INFO ] [2022-10-03 00:00:35,154] Verify Required message of Firstname field
[INFO ] [2022-10-03 00:00:35,225] Verify Required message of Lastname field
[INFO ] [2022-10-03 00:00:35,267] Verify Required message of Email field
[INFO ] [2022-10-03 00:00:35,309] Verify Required message of Password field
[INFO ] [2022-10-03 00:00:35,350] Verify Required message of Confirm Password field
[INFO ] [2022-10-03 00:00:35,404] Click to Register on the header
[INFO ] [2022-10-03 00:00:36,052] Select gender in checkbox
[INFO ] [2022-10-03 00:00:36,209] Input valid value into Firstname textbox with: Thomas
[INFO ] [2022-10-03 00:00:36,625] Input valid value into Lastname textbox with: Block
[INFO ] [2022-10-03 00:00:36,757] Select Date of birthday
[INFO ] [2022-10-03 00:00:36,910] Select Month of birthday
[INFO ] [2022-10-03 00:00:37,002] ISelect Year of birthday
[INFO ] [2022-10-03 00:00:37,082] Input invalid email to email textbox
[INFO ] [2022-10-03 00:00:37,165] Input valid value into password textbox with: 8nlbat64zqfu
[INFO ] [2022-10-03 00:00:37,321] Input valid value into confirm password textbox with: 8nlbat64zqfu
[INFO ] [2022-10-03 00:00:37,515] Click to Register button
[INFO ] [2022-10-03 00:00:38,006] Verify error message about invalid email
[INFO ] [2022-10-03 00:00:38,229] Select gender in checkbox
[INFO ] [2022-10-03 00:00:38,619] Input valid value into Firstname textbox with: Thomas
[INFO ] [2022-10-03 00:00:39,075] Input valid value into Lastname textbox with: Block
[INFO ] [2022-10-03 00:00:39,399] Select Date of birthday
[INFO ] [2022-10-03 00:00:39,519] Select Month of birthday
[INFO ] [2022-10-03 00:00:39,567] ISelect Year of birthday
[INFO ] [2022-10-03 00:00:39,606] Input valid email to email textbox with: sandie.murray@yahoo.com
[INFO ] [2022-10-03 00:00:39,750] Input valid value into password textbox with: 8nlbat64zqfu
[INFO ] [2022-10-03 00:00:39,884] Input valid value into confirm password textbox with: 8nlbat64zqfu
